root_positions,score
"[0.0, 0.13408136725706699, 0.16173361581879597, 0.16328457659235607, 0.18372437629310534, 0.30988209693924285, 0.3965088863647298, 0.45038194976036516, 0.5297930476521051, 0.5960261994433818, 0.6484107447428109, 0.7561379587737559, 0.7565518755876883, 0.8622250875847087, 0.9197932975768158]",2.989003265380859
"[0.0, 0.1428760920274742, 0.20751296786617496, 0.30657991467472934, 0.36088984967859006, 0.42204493504700336, 0.4949269644500287, 0.5631926176242665, 0.6336169713866974, 0.7138563903243474, 0.7436942819753405, 0.855568626915515, 0.9666272185891531, 0.9981616439265784, 0.9993390252978182]",2.983431854248047
"[0.0, 0.16462651912999576, 0.18227209372351294, 0.18353332703358305, 0.21143065809512257, 0.21644272727192326, 0.3561319805933572, 0.4329394856221581, 0.5116559248331665, 0.6160345646124301, 0.6295597992013627, 0.713443669106609, 0.7869056756624764, 0.8408605295487047, 0.9158781555429051]",2.924768005371094
"[0.0, 0.1803009093958161, 0.20324831127186715, 0.28104890763446233, 0.3314582701542058, 0.429739236770586, 0.48486140129629063, 0.5679255003552018, 0.6296936552366458, 0.6803378588507559, 0.7709363466078258, 0.8988720884356762, 0.9415918286398282, 0.9462877555465162, 0.9643322418758041]",2.9219020385742187
"[0.0, 0.15186071998530043, 0.19030957343119506, 0.21846429825213998, 0.2210215703805368, 0.2533433891341929, 0.39425947038523806, 0.45598373011677173, 0.552466527952171, 0.5550962367590224, 0.6888503545960518, 0.7368405991818507, 0.795408236266921, 0.8740237768936736, 0.9272416862398081]",2.9119872131347653
"[0.0, 0.1253530683636972, 0.17269684373982974, 0.2336408977252198, 0.29548256831590036, 0.3691888374146539, 0.45640211493826344, 0.4739711601012567, 0.5944446691043647, 0.6392675823920269, 0.7609689242504081, 0.8430871390439143, 0.8521825286580061, 0.8522342959720365, 0.8758783740705556]",2.9117672729492186
"[0.0, 0.21457756273305573, 0.21489384642349363, 0.21878119618050085, 0.23968638480129834, 0.2544668331223545, 0.2703386281620661, 0.46478808396605964, 0.5077474450749948, 0.6024921479429235, 0.6579744139367012, 0.7173973309742371, 0.8098341019114902, 0.8513304868535992, 0.9202089231851366]",2.904288452148437
"[0.0, 0.15435987124494222, 0.16031738474832646, 0.20673646237650029, 0.21700058242200268, 0.2745513439436675, 0.37700802479254586, 0.4449831969968357, 0.5275002521764904, 0.5754014572740347, 0.671226763754019, 0.7436206392776734, 0.7921155874180765, 0.882758118385851, 0.9246693636406385]",2.889311157226562
"[0.0, 0.18103373544196943, 0.1951173037739613, 0.20497616737876923, 0.21148142730200437, 0.23242594189401455, 0.35795970633660934, 0.4932669378799208, 0.5157621307080079, 0.6159702854745253, 0.6485062712001691, 0.7406562744749322, 0.8138527589703495, 0.8534477881862428, 0.9442480824008094]",2.888929473876953
"[0.0, 0.14232492032443528, 0.24650405770269235, 0.24793278592393175, 0.337558876860232, 0.4110160084667462, 0.49445778742788454, 0.5734271098637518, 0.5876090897374421, 0.6805179805431161, 0.7434692153898832, 0.8449510283992582, 0.9438865281001435, 0.9769052579712846, 0.9830784764719198]",2.887580535888672
"[0.0, 0.19858152590406952, 0.26580493755739276, 0.3170860124496605, 0.3956542537151474, 0.43979391630211484, 0.556791003677378, 0.5637712844423883, 0.6712961377278067, 0.7254837635008511, 0.8973786928756836, 0.9007502291397873, 0.9659037823260023, 0.9767664015091064, 0.9822847452929868]",2.8874989624023435
"[0.0, 0.15669395456313506, 0.16963721620458938, 0.2968063166961681, 0.34192844784082643, 0.37255608877214996, 0.37517616293167566, 0.49019870468416593, 0.5767940199585959, 0.6319632897261181, 0.7082350558955417, 0.7746673604350952, 0.8456615679736181, 0.908142275485434, 0.9892040949081163]",2.8874419555664064
