root_positions,score
"[0.0, 0.1742491900725872, 0.20744528054683586, 0.2605199715985995, 0.3111754143581559, 0.35768623544149813, 0.4244729759636243, 0.463217459955488, 0.5113472601116456, 0.5710481676025801, 0.6144996767433488, 0.6603890553028335, 0.7129890355832399, 0.761951555267834, 0.8117727534137537, 0.9701829012000609, 0.9809692581048017, 0.9905286790831521, 0.9918188890084476, 0.9924349541831724]",3.113776
"[0.0, 0.1742491900725872, 0.20744528054683586, 0.2605199715985995, 0.3111754143581559, 0.35768623544149813, 0.4244729759636243, 0.463217459955488, 0.5113472601116456, 0.5710481676025801, 0.6144996767433488, 0.6603890553028335, 0.7129890355832399, 0.761951555267834, 0.8117727534137537, 0.9701829012000609, 0.9809692581048017, 0.9905286790831521, 0.9918188890084476, 0.9924349541831724]",3.113776
"[0.0, 0.1742491900725872, 0.20744528054683586, 0.2605199715985995, 0.3111754143581559, 0.35768623544149813, 0.4244729759636243, 0.463217459955488, 0.5113472601116456, 0.5710481676025801, 0.6144996767433488, 0.6603890553028335, 0.7129890355832399, 0.761951555267834, 0.8117727534137537, 0.9701829012000609, 0.9809692581048017, 0.9905286790831521, 0.9918188890084476, 0.9924349541831724]",3.113776
"[0.0, 0.1742491900725872, 0.20744528054683586, 0.2605199715985995, 0.3111754143581559, 0.35768623544149813, 0.4244729759636243, 0.463217459955488, 0.5113472601116456, 0.5710481676025801, 0.6144996767433488, 0.6603890553028335, 0.7129890355832399, 0.761951555267834, 0.8117727534137537, 0.9701829012000609, 0.9809692581048017, 0.9905286790831521, 0.9918188890084476, 0.9924349541831724]",3.113776
"[0.0, 0.1742491900725872, 0.20744528054683586, 0.2605199715985995, 0.3111754143581559, 0.35768623544149813, 0.4244729759636243, 0.463217459955488, 0.5113472601116456, 0.5710481676025801, 0.6144996767433488, 0.6603890553028335, 0.7129890355832399, 0.761951555267834, 0.8117727534137537, 0.9701829012000609, 0.9809692581048017, 0.9905286790831521, 0.9918188890084476, 0.9924349541831724]",3.113776
"[0.0, 0.1742491900725872, 0.20744528054683586, 0.2605199715985995, 0.3111754143581559, 0.35768623544149813, 0.4244729759636243, 0.463217459955488, 0.5113472601116456, 0.5710481676025801, 0.6144996767433488, 0.6603890553028335, 0.7129890355832399, 0.761951555267834, 0.8117727534137537, 0.9701829012000609, 0.9809692581048017, 0.9905286790831521, 0.9918188890084476, 0.9924349541831724]",3.113776
"[0.0, 0.1742491900725872, 0.20744528054683586, 0.2605199715985995, 0.3111754143581559, 0.35768623544149813, 0.4244729759636243, 0.463217459955488, 0.5113472601116456, 0.5710481676025801, 0.6144996767433488, 0.6603890553028335, 0.7129890355832399, 0.761951555267834, 0.8117727534137537, 0.9701829012000609, 0.9809692581048017, 0.9905286790831521, 0.9918188890084476, 0.9924349541831724]",3.113776
"[0.0, 0.1742491900725872, 0.20744528054683586, 0.2605199715985995, 0.3111754143581559, 0.35768623544149813, 0.4244729759636243, 0.463217459955488, 0.5113472601116456, 0.5710481676025801, 0.6144996767433488, 0.6603890553028335, 0.7129890355832399, 0.761951555267834, 0.8117727534137537, 0.9701829012000609, 0.9809692581048017, 0.9905286790831521, 0.9918188890084476, 0.9924349541831724]",3.113776
"[0.0, 0.17734114821456842, 0.1829318253933802, 0.1833990401059365, 0.18908497866963542, 0.19157767696297429, 0.1979981304643837, 0.3462534343093496, 0.42854149158169635, 0.46047858698788796, 0.5147624379960964, 0.5604807446875351, 0.6152106672413193, 0.664141351179774, 0.705497418212555, 0.7635149455633385, 0.8160023419990561, 0.8638048134366993, 0.9144086131268261, 0.963122708766253]",3.1120799999999997
"[0.0, 0.17734114821456842, 0.1829318253933802, 0.1833990401059365, 0.18908497866963542, 0.19157767696297429, 0.1979981304643837, 0.3462534343093496, 0.42854149158169635, 0.46047858698788796, 0.5147624379960964, 0.5604807446875351, 0.6152106672413193, 0.664141351179774, 0.705497418212555, 0.7635149455633385, 0.8160023419990561, 0.8638048134366993, 0.9144086131268261, 0.963122708766253]",3.1120799999999997
"[0.0, 0.17734114821456842, 0.1829318253933802, 0.1833990401059365, 0.18908497866963542, 0.19157767696297429, 0.1979981304643837, 0.3462534343093496, 0.42854149158169635, 0.46047858698788796, 0.5147624379960964, 0.5604807446875351, 0.6152106672413193, 0.664141351179774, 0.705497418212555, 0.7635149455633385, 0.8160023419990561, 0.8638048134366993, 0.9144086131268261, 0.963122708766253]",3.1120799999999997
"[0.0, 0.17734114821456842, 0.1829318253933802, 0.1833990401059365, 0.18908497866963542, 0.19157767696297429, 0.1979981304643837, 0.3462534343093496, 0.42854149158169635, 0.46047858698788796, 0.5147624379960964, 0.5604807446875351, 0.6152106672413193, 0.664141351179774, 0.705497418212555, 0.7635149455633385, 0.8160023419990561, 0.8638048134366993, 0.9144086131268261, 0.963122708766253]",3.1120799999999997
"[0.0, 0.17734114821456842, 0.1829318253933802, 0.1833990401059365, 0.18908497866963542, 0.19157767696297429, 0.1979981304643837, 0.3462534343093496, 0.42854149158169635, 0.46047858698788796, 0.5147624379960964, 0.5604807446875351, 0.6152106672413193, 0.664141351179774, 0.705497418212555, 0.7635149455633385, 0.8160023419990561, 0.8638048134366993, 0.9144086131268261, 0.963122708766253]",3.1120799999999997
"[0.0, 0.17734114821456842, 0.1829318253933802, 0.1833990401059365, 0.18908497866963542, 0.19157767696297429, 0.1979981304643837, 0.3462534343093496, 0.42854149158169635, 0.46047858698788796, 0.5147624379960964, 0.5604807446875351, 0.6152106672413193, 0.664141351179774, 0.705497418212555, 0.7635149455633385, 0.8160023419990561, 0.8638048134366993, 0.9144086131268261, 0.963122708766253]",3.1120799999999997
"[0.0, 0.17734114821456842, 0.1829318253933802, 0.1833990401059365, 0.18908497866963542, 0.19157767696297429, 0.1979981304643837, 0.3462534343093496, 0.42854149158169635, 0.46047858698788796, 0.5147624379960964, 0.5604807446875351, 0.6152106672413193, 0.664141351179774, 0.705497418212555, 0.7635149455633385, 0.8160023419990561, 0.8638048134366993, 0.9144086131268261, 0.963122708766253]",3.1120799999999997
"[0.0, 0.17734114821456842, 0.1829318253933802, 0.1833990401059365, 0.18908497866963542, 0.19157767696297429, 0.1979981304643837, 0.3462534343093496, 0.42854149158169635, 0.46047858698788796, 0.5147624379960964, 0.5604807446875351, 0.6152106672413193, 0.664141351179774, 0.705497418212555, 0.7635149455633385, 0.8160023419990561, 0.8638048134366993, 0.9144086131268261, 0.963122708766253]",3.1120799999999997
"[0.0, 0.13366589151417535, 0.13406301580042307, 0.15257636914502987, 0.15498657051268738, 0.1579577427037251, 0.2889198823777697, 0.3393626863288519, 0.39086453912787883, 0.443637568793883, 0.49633799762914393, 0.5430708713474333, 0.5892764338679333, 0.6667051768416103, 0.6731943250708528, 0.7462422070929384, 0.8026248797624995, 0.8481235019103641, 0.9031226240555372, 0.9452904519864328]",3.099824
"[0.0, 0.13366589151417535, 0.13406301580042307, 0.15257636914502987, 0.15498657051268738, 0.1579577427037251, 0.2889198823777697, 0.3393626863288519, 0.39086453912787883, 0.443637568793883, 0.49633799762914393, 0.5430708713474333, 0.5892764338679333, 0.6667051768416103, 0.6731943250708528, 0.7462422070929384, 0.8026248797624995, 0.8481235019103641, 0.9031226240555372, 0.9452904519864328]",3.099824
"[0.0, 0.13366589151417535, 0.13406301580042307, 0.15257636914502987, 0.15498657051268738, 0.1579577427037251, 0.2889198823777697, 0.3393626863288519, 0.39086453912787883, 0.443637568793883, 0.49633799762914393, 0.5430708713474333, 0.5892764338679333, 0.6667051768416103, 0.6731943250708528, 0.7462422070929384, 0.8026248797624995, 0.8481235019103641, 0.9031226240555372, 0.9452904519864328]",3.099824
"[0.0, 0.13366589151417535, 0.13406301580042307, 0.15257636914502987, 0.15498657051268738, 0.1579577427037251, 0.2889198823777697, 0.3393626863288519, 0.39086453912787883, 0.443637568793883, 0.49633799762914393, 0.5430708713474333, 0.5892764338679333, 0.6667051768416103, 0.6731943250708528, 0.7462422070929384, 0.8026248797624995, 0.8481235019103641, 0.9031226240555372, 0.9452904519864328]",3.099824
"[0.0, 0.13366589151417535, 0.13406301580042307, 0.15257636914502987, 0.15498657051268738, 0.1579577427037251, 0.2889198823777697, 0.3393626863288519, 0.39086453912787883, 0.443637568793883, 0.49633799762914393, 0.5430708713474333, 0.5892764338679333, 0.6667051768416103, 0.6731943250708528, 0.7462422070929384, 0.8026248797624995, 0.8481235019103641, 0.9031226240555372, 0.9452904519864328]",3.099824
"[0.0, 0.13366589151417535, 0.13406301580042307, 0.15257636914502987, 0.15498657051268738, 0.1579577427037251, 0.2889198823777697, 0.3393626863288519, 0.39086453912787883, 0.443637568793883, 0.49633799762914393, 0.5430708713474333, 0.5892764338679333, 0.6667051768416103, 0.6731943250708528, 0.7462422070929384, 0.8026248797624995, 0.8481235019103641, 0.9031226240555372, 0.9452904519864328]",3.099824
"[0.0, 0.13366589151417535, 0.13406301580042307, 0.15257636914502987, 0.15498657051268738, 0.1579577427037251, 0.2889198823777697, 0.3393626863288519, 0.39086453912787883, 0.443637568793883, 0.49633799762914393, 0.5430708713474333, 0.5892764338679333, 0.6667051768416103, 0.6731943250708528, 0.7462422070929384, 0.8026248797624995, 0.8481235019103641, 0.9031226240555372, 0.9452904519864328]",3.099824
"[0.0, 0.13366589151417535, 0.13406301580042307, 0.15257636914502987, 0.15498657051268738, 0.1579577427037251, 0.2889198823777697, 0.3393626863288519, 0.39086453912787883, 0.443637568793883, 0.49633799762914393, 0.5430708713474333, 0.5892764338679333, 0.6667051768416103, 0.6731943250708528, 0.7462422070929384, 0.8026248797624995, 0.8481235019103641, 0.9031226240555372, 0.9452904519864328]",3.099824
"[0.0, 0.17515109165901666, 0.21585921157599564, 0.2546009038375444, 0.33173667775475346, 0.3480314592139746, 0.42013018786985135, 0.46854924713480395, 0.5085980591219211, 0.5769176660628788, 0.6163845656146985, 0.662827379089818, 0.7180515402629648, 0.7700117961302255, 0.8103203559242755, 0.9852779264381691, 0.9854694928690111, 0.9878968543649304, 0.9895876170297586, 0.9941270051761605]",3.095344
"[0.0, 0.17515109165901666, 0.21585921157599564, 0.2546009038375444, 0.33173667775475346, 0.3480314592139746, 0.42013018786985135, 0.46854924713480395, 0.5085980591219211, 0.5769176660628788, 0.6163845656146985, 0.662827379089818, 0.7180515402629648, 0.7700117961302255, 0.8103203559242755, 0.9852779264381691, 0.9854694928690111, 0.9878968543649304, 0.9895876170297586, 0.9941270051761605]",3.095344
"[0.0, 0.17515109165901666, 0.21585921157599564, 0.2546009038375444, 0.33173667775475346, 0.3480314592139746, 0.42013018786985135, 0.46854924713480395, 0.5085980591219211, 0.5769176660628788, 0.6163845656146985, 0.662827379089818, 0.7180515402629648, 0.7700117961302255, 0.8103203559242755, 0.9852779264381691, 0.9854694928690111, 0.9878968543649304, 0.9895876170297586, 0.9941270051761605]",3.095344
"[0.0, 0.17515109165901666, 0.21585921157599564, 0.2546009038375444, 0.33173667775475346, 0.3480314592139746, 0.42013018786985135, 0.46854924713480395, 0.5085980591219211, 0.5769176660628788, 0.6163845656146985, 0.662827379089818, 0.7180515402629648, 0.7700117961302255, 0.8103203559242755, 0.9852779264381691, 0.9854694928690111, 0.9878968543649304, 0.9895876170297586, 0.9941270051761605]",3.095344
"[0.0, 0.17515109165901666, 0.21585921157599564, 0.2546009038375444, 0.33173667775475346, 0.3480314592139746, 0.42013018786985135, 0.46854924713480395, 0.5085980591219211, 0.5769176660628788, 0.6163845656146985, 0.662827379089818, 0.7180515402629648, 0.7700117961302255, 0.8103203559242755, 0.9852779264381691, 0.9854694928690111, 0.9878968543649304, 0.9895876170297586, 0.9941270051761605]",3.095344
"[0.0, 0.17515109165901666, 0.21585921157599564, 0.2546009038375444, 0.33173667775475346, 0.3480314592139746, 0.42013018786985135, 0.46854924713480395, 0.5085980591219211, 0.5769176660628788, 0.6163845656146985, 0.662827379089818, 0.7180515402629648, 0.7700117961302255, 0.8103203559242755, 0.9852779264381691, 0.9854694928690111, 0.9878968543649304, 0.9895876170297586, 0.9941270051761605]",3.095344
"[0.0, 0.17515109165901666, 0.21585921157599564, 0.2546009038375444, 0.33173667775475346, 0.3480314592139746, 0.42013018786985135, 0.46854924713480395, 0.5085980591219211, 0.5769176660628788, 0.6163845656146985, 0.662827379089818, 0.7180515402629648, 0.7700117961302255, 0.8103203559242755, 0.9852779264381691, 0.9854694928690111, 0.9878968543649304, 0.9895876170297586, 0.9941270051761605]",3.095344
"[0.0, 0.17515109165901666, 0.21585921157599564, 0.2546009038375444, 0.33173667775475346, 0.3480314592139746, 0.42013018786985135, 0.46854924713480395, 0.5085980591219211, 0.5769176660628788, 0.6163845656146985, 0.662827379089818, 0.7180515402629648, 0.7700117961302255, 0.8103203559242755, 0.9852779264381691, 0.9854694928690111, 0.9878968543649304, 0.9895876170297586, 0.9941270051761605]",3.095344
"[0.0, 0.16958464829500067, 0.17612368892577637, 0.1761487871227196, 0.1763894123109799, 0.18598803020725133, 0.18868706879455335, 0.35503558312730155, 0.4042715434360702, 0.4466419532812207, 0.5098910073830253, 0.5536482429889945, 0.6044020754985057, 0.6521893935693241, 0.7080291331869554, 0.7404698490071685, 0.8339270278769036, 0.8375842818213778, 0.9152780490925976, 0.9577806134658687]",3.082496
"[0.0, 0.16958464829500067, 0.17612368892577637, 0.1761487871227196, 0.1763894123109799, 0.18598803020725133, 0.18868706879455335, 0.35503558312730155, 0.4042715434360702, 0.4466419532812207, 0.5098910073830253, 0.5536482429889945, 0.6044020754985057, 0.6521893935693241, 0.7080291331869554, 0.7404698490071685, 0.8339270278769036, 0.8375842818213778, 0.9152780490925976, 0.9577806134658687]",3.082496
"[0.0, 0.16958464829500067, 0.17612368892577637, 0.1761487871227196, 0.1763894123109799, 0.18598803020725133, 0.18868706879455335, 0.35503558312730155, 0.4042715434360702, 0.4466419532812207, 0.5098910073830253, 0.5536482429889945, 0.6044020754985057, 0.6521893935693241, 0.7080291331869554, 0.7404698490071685, 0.8339270278769036, 0.8375842818213778, 0.9152780490925976, 0.9577806134658687]",3.082496
