11,"(np.float64(1.564672), np.float64(0.019010125105286817))","(np.float64(1.529088), np.float64(0.01881586474792206))","(np.float64(2.44736), np.float64(0.023036732070465204))","(np.float64(2.318848), np.float64(0.022529806729005376))","(np.float64(3.032832), np.float64(0.02508457440253703))","(np.float64(3.11936), np.float64(0.02535487430547428))"
13,"(np.float64(1.577728), np.float64(0.019080638294571177))","(np.float64(1.497344), np.float64(0.018639942036675544))","(np.float64(2.016512), np.float64(0.021240667166115473))","(np.float64(1.715968), np.float64(0.019803410543833503))","(np.float64(3.144448), np.float64(0.025431827232913012))","(np.float64(3.086592), np.float64(0.025253410645070817))"
15,"(np.float64(1.532416), np.float64(0.018834163513336714))","(np.float64(1.461504), np.float64(0.01843825156916306))","(np.float64(2.363136), np.float64(0.02270709642222149))","(np.float64(2.00576), np.float64(0.021192106765453973))","(np.float64(3.175168), np.float64(0.025525202031490682))","(np.float64(3.122688), np.float64(0.025365118617394558))"
17,"(np.float64(1.5936), np.float64(0.019165819174770483))","(np.float64(1.656832), np.float64(0.01949942346789812))","(np.float64(2.37952), np.float64(0.022771984391211933))","(np.float64(2.401792), np.float64(0.022859594813114604))","(np.float64(3.144704), np.float64(0.025432609225915927))","(np.float64(3.124992), np.float64(0.025372204318879665))"
19,"(np.float64(1.59104), np.float64(0.019152120182747392))","(np.float64(1.617408), np.float64(0.019292493612402106))","(np.float64(2.232832), np.float64(0.022177384249645313))","(np.float64(1.96736), np.float64(0.021017042467635638))","(np.float64(3.136768), np.float64(0.02540833706142171))","(np.float64(3.10528), np.float64(0.0253114096396388))"
