11,"(np.float64(1.587104), np.float64(0.004782757038903816))","(np.float64(1.537472), np.float64(0.00471547790252653))","(np.float64(2.458), np.float64(0.005769422501429412))","(np.float64(2.327376), np.float64(0.005641040414198785))","(np.float64(3.030048), np.float64(0.006268937479166306))","(np.float64(3.142896), np.float64(0.006356771250657364))"
13,"(np.float64(1.583008), np.float64(0.004777260059064819))","(np.float64(1.523264), np.float64(0.004695944078276912))","(np.float64(2.013856), np.float64(0.005307172506265836))","(np.float64(1.740384), np.float64(0.004981687217453941))","(np.float64(3.129696), np.float64(0.006346663607564529))","(np.float64(3.108144), np.float64(0.0063300667354510565))"
15,"(np.float64(1.56496), np.float64(0.004752921227876599))","(np.float64(1.41024), np.float64(0.004535974332202509))","(np.float64(2.337168), np.float64(0.005650870175448733))","(np.float64(2.036672), np.float64(0.005332796561319023))","(np.float64(3.125344), np.float64(0.006343321596897323))","(np.float64(3.11896), np.float64(0.0063384105672005826))"
17,"(np.float64(1.593808), np.float64(0.004791732886872556))","(np.float64(1.663104), np.float64(0.00488300615248271))","(np.float64(2.418512), np.float64(0.005731229510834129))","(np.float64(2.366832), np.float64(0.005680441733155618))","(np.float64(3.113024), np.float64(0.00633383498170137))","(np.float64(3.110272), np.float64(0.006331710676114))"
19,"(np.float64(1.559776), np.float64(0.004745894523672434))","(np.float64(1.597968), np.float64(0.004797289471251032))","(np.float64(2.24256), np.float64(0.005554447285410134))","(np.float64(1.968112), np.float64(0.0052551238953478544))","(np.float64(3.126816), np.float64(0.006344452513979752))","(np.float64(3.133504), np.float64(0.006349583977079443))"
