11,"(np.float64(1.592312), np.float64(0.0023948660972304904))","(np.float64(1.536456), np.float64(0.002357042583411679))","(np.float64(2.456756), np.float64(0.002884113640118225))","(np.float64(2.323556), np.float64(0.0028185982116498975))","(np.float64(3.032432), np.float64(0.0031354133764695206))","(np.float64(3.132116), np.float64(0.0031742599673996457))"
13,"(np.float64(1.582532), np.float64(0.0023883103058949437))","(np.float64(1.517384), np.float64(0.0023439117835652432))","(np.float64(2.019972), np.float64(0.002657031478888423))","(np.float64(1.739304), np.float64(0.0024901649340748496))","(np.float64(3.126396), np.float64(0.0031720649446056433))","(np.float64(3.116376), np.float64(0.003168209929385362))"
15,"(np.float64(1.566004), np.float64(0.0023771671939508167))","(np.float64(1.410904), np.float64(0.0022684694125546414))","(np.float64(2.339624), np.float64(0.002826665152552739))","(np.float64(2.0382), np.float64(0.002667252367137388))","(np.float64(3.134964), np.float64(0.003175351347437949))","(np.float64(3.125868), np.float64(0.0031718621205285707))"
17,"(np.float64(1.592236), np.float64(0.002394815260114233))","(np.float64(1.663444), np.float64(0.002441723676978212))","(np.float64(2.434048), np.float64(0.002873159338328454))","(np.float64(2.367316), np.float64(0.0028404608321601623))","(np.float64(3.116888), np.float64(0.0031684072179667816))","(np.float64(3.115972), np.float64(0.0031680542330907156))"
19,"(np.float64(1.565056), np.float64(0.002376525600370423))","(np.float64(1.59942), np.float64(0.002399613284656509))","(np.float64(2.248228), np.float64(0.0027801582176207166))","(np.float64(1.961132), np.float64(0.0026235507084186502))","(np.float64(3.129932), np.float64(0.003173422351160337))","(np.float64(3.132496), np.float64(0.0031744056455494155))"
