11,"(np.float64(1.5893904), np.float64(0.0015134095465665547))","(np.float64(1.5396512), np.float64(0.001492109023574972))","(np.float64(2.4550496), np.float64(0.001823554909004383))","(np.float64(2.3202192), np.float64(0.0017815748669071237))","(np.float64(3.0350832), np.float64(0.0019836733896757743))","(np.float64(3.13712), np.float64(0.00200879063382922))"
13,"(np.float64(1.5786304), np.float64(0.0015088410274179264))","(np.float64(1.5206064), np.float64(0.0014838281091918645))","(np.float64(2.0193728), np.float64(0.0016802410033867215))","(np.float64(1.7410112), np.float64(0.001575597004359762))","(np.float64(3.1276544), np.float64(0.002006495660452836))","(np.float64(3.1103904), np.float64(0.002002291636090703))"
15,"(np.float64(1.5676016), np.float64(0.0015041359919793634))","(np.float64(1.410128), np.float64(0.0014343495746719486))","(np.float64(2.3404384), np.float64(0.001787997832655438))","(np.float64(2.039672), np.float64(0.001687438595398837))","(np.float64(3.1322688), np.float64(0.0020076153258168396))","(np.float64(3.1212976), np.float64(0.002004950445578001))"
17,"(np.float64(1.5922192), np.float64(0.0015146070519825054))","(np.float64(1.6612096), np.float64(0.0015433643855184635))","(np.float64(2.4297856), np.float64(0.0018158389669250036))","(np.float64(2.3662032), np.float64(0.0017961161882325363))","(np.float64(3.1139856), np.float64(0.002003169071321556))","(np.float64(3.115984), np.float64(0.0020036563505687294))"
19,"(np.float64(1.5557632), np.float64(0.0014990601077183583))","(np.float64(1.5999984), np.float64(0.0015178926022613537))","(np.float64(2.2436576), np.float64(0.0017568301617960184))","(np.float64(1.9606096), np.float64(0.001659089014983459))","(np.float64(3.129744), np.float64(0.002007002902201788))","(np.float64(3.134264), np.float64(0.002008098931285608))"
