root_positions,score
"[0.0, 0.20741492768688652, 0.2622308404908956, 0.3699647154513498, 0.4070554276739091, 0.4846335051997225, 0.5405992085580781, 0.6230113591342281, 0.6655361805185125, 0.7942068395647469, 0.9411343892059439, 0.9622307762344354, 0.9808916472122059, 0.9872471910711168, 0.9886497936852566]",2.8776648864746095
"[0.0, 0.14097036875435665, 0.14583707346421965, 0.16325786444744367, 0.17657670004826165, 0.29299805168427484, 0.3926679801340416, 0.4460147113591389, 0.5133126742595012, 0.5704009682611287, 0.667325204630483, 0.7105723067313852, 0.8303078988579949, 0.8534643470612838, 0.8679105670837357]",2.844367736816406
"[0.0, 0.16982492441198338, 0.22957351308896412, 0.3015682387585269, 0.3564664484158092, 0.4492079314529315, 0.45885920775867806, 0.5710893680569222, 0.642646638097831, 0.6957870947908429, 0.7962852103706063, 0.8668675716745061, 0.953102969741115, 0.9564538438971943, 0.9979517906733429]",2.8413992919921873
"[0.0, 0.18542214262730705, 0.23986156297136296, 0.32607715825334327, 0.3402213135528598, 0.4380142329545049, 0.5046800144564527, 0.5728972575449041, 0.6494770761490559, 0.7129607750724102, 0.8213488220331177, 0.896216723191132, 0.9502780518401803, 0.9645457582049057, 0.9872589483279423]",2.8294423828124997
"[0.0, 0.20297712266160428, 0.2170953632617021, 0.24015639381905018, 0.2471572716794822, 0.2941763963389342, 0.3380463136757115, 0.46463625200802317, 0.5444717806664015, 0.6201370388861265, 0.6544787644609733, 0.7829544493126203, 0.809799372254339, 0.8762274522219512, 0.9601580351297676]",2.795174438476562
"[0.0, 0.18657019662336438, 0.2563368170772071, 0.3569386177639615, 0.40966058918962645, 0.4464227095311013, 0.5286167941607345, 0.6237620591781897, 0.6656400020058896, 0.7827421676171604, 0.9087984690033679, 0.9502834554099884, 0.9622008898184166, 0.969258681407933, 0.9928686583303766]",2.784177307128906
"[0.0, 0.17836051717961549, 0.1921030202624509, 0.19921157794419325, 0.21560266681299395, 0.26065509152702787, 0.36821724681766993, 0.5064621420292872, 0.5073961315819755, 0.5952194466552261, 0.6601133447205485, 0.7817562216304257, 0.8101402570595495, 0.8144844205641586, 0.9416124433397655]",2.773734893798828
"[0.0, 0.1375587510010854, 0.2650558489184953, 0.26987854677253975, 0.27411685982277934, 0.28159232566028747, 0.3292469100148008, 0.451992709189885, 0.5296720301704845, 0.6238160492452373, 0.6780049781967615, 0.8030131256356158, 0.8100646469574327, 0.8627143702164124, 0.9584544785547111]",2.7695636901855467
"[0.0, 0.18952712064894803, 0.22364259428091043, 0.3839134435659671, 0.38651432712208067, 0.42998222314417317, 0.5379868885834144, 0.5941635096849477, 0.6420043503547963, 0.7311936698307723, 0.8973759577075524, 0.9191728360931298, 0.9645635775883178, 0.9648483061760802, 0.9889654700940556]",2.7690199584960933
"[0.0, 0.16295223787101776, 0.17077725567209878, 0.19413675586514112, 0.2836197199842341, 0.38501650021073097, 0.44000717942556455, 0.5041760889332637, 0.6046529595098916, 0.6966954148129844, 0.7178658352266932, 0.745948308333152, 0.7540821271767228, 0.8816979794429973, 0.9629654523143744]",2.769000213623047
"[0.0, 0.13299658568199324, 0.22448380129565593, 0.23074996418708993, 0.26306222337715257, 0.277306602304743, 0.36023136632143304, 0.48134029326270533, 0.5316620011122625, 0.6017781353761559, 0.7094618647398309, 0.7238114062267935, 0.7951749637452525, 0.894552246429358, 0.9760401422770215]",2.7645379638671876
"[0.0, 0.14269236363603532, 0.20922719571870435, 0.22895366215986923, 0.3012530777545843, 0.3729085747637806, 0.47158390865455246, 0.5054049326247181, 0.6310053388379868, 0.7703658155102422, 0.7920418432939021, 0.8082390504753715, 0.8134668083392855, 0.8324052922624711, 0.8848312506129088]",2.7430177001953124
"[0.0, 0.180962683142888, 0.22785029291058245, 0.2958916055421352, 0.38050561366391317, 0.4441761245183368, 0.5198464867654196, 0.5298870368918497, 0.6857998475755622, 0.7215745584545801, 0.8348047586923345, 0.8629472193848708, 0.9421015324534501, 0.9925407998931931, 0.9978788868176102]",2.7357667236328123
