11,"(np.float64(1.591424), np.float64(0.009577088002566124))","(np.float64(1.5376), np.float64(0.009431306641181804))","(np.float64(2.460864), np.float64(0.01154434448091428))","(np.float64(2.318784), np.float64(0.011264774256298968))","(np.float64(3.041728), np.float64(0.012556359149692397))","(np.float64(3.15232), np.float64(0.01272792184413465))"
13,"(np.float64(1.579456), np.float64(0.009544970349679249))","(np.float64(1.525952), np.float64(0.00939929837672919))","(np.float64(2.010816), np.float64(0.010607483210289611))","(np.float64(1.715392), np.float64(0.00990024288314908))","(np.float64(3.121856), np.float64(0.012681279291185728))","(np.float64(3.116928), np.float64(0.01267369051899501))"
15,"(np.float64(1.56352), np.float64(0.009501941950906668))","(np.float64(1.42176), np.float64(0.009105329978073283))","(np.float64(2.343488), np.float64(0.01131439295655865))","(np.float64(2.039168), np.float64(0.010671172731762147))","(np.float64(3.144), np.float64(0.01271522929403949))","(np.float64(3.123904), np.float64(0.012684429478503793))"
17,"(np.float64(1.589568), np.float64(0.009572118171726884))","(np.float64(1.67072), np.float64(0.00978574773465983))","(np.float64(2.448704), np.float64(0.011520957029758248))","(np.float64(2.36576), np.float64(0.011358756907760639))","(np.float64(3.113216), np.float64(0.012667966235721343))","(np.float64(3.11104), np.float64(0.012664607395162316))"
19,"(np.float64(1.56864), np.float64(0.009515799188801747))","(np.float64(1.604032), np.float64(0.009610742602520577))","(np.float64(2.245248), np.float64(0.01111446434489688))","(np.float64(1.961024), np.float64(0.01049395423497244))","(np.float64(3.142336), np.float64(0.012712686649658914))","(np.float64(3.121088), np.float64(0.012680097428057247))"
