11,"(np.float64(1.5872), np.float64(0.04782885756528166))","(np.float64(1.5616), np.float64(0.04748368713568903))","(np.float64(2.4656), np.float64(0.05776713307755543))","(np.float64(2.3504), np.float64(0.056640992081707045))","(np.float64(3.0704), np.float64(0.06300717724196189))","(np.float64(3.2768), np.float64(0.0645688638276995))"
13,"(np.float64(1.592), np.float64(0.04789314773534937))","(np.float64(1.6224), np.float64(0.04829722377114444))","(np.float64(1.9632), np.float64(0.05249480522870811))","(np.float64(1.7184), np.float64(0.04953937972966557))","(np.float64(3.1824), np.float64(0.0638676210923814))","(np.float64(3.1312), np.float64(0.06347817464294322))"
15,"(np.float64(1.6224), np.float64(0.04829722377114444))","(np.float64(1.4656), np.float64(0.046153674436603634))","(np.float64(2.4112), np.float64(0.057240994540626214))","(np.float64(2.0336), np.float64(0.05329359346112814))","(np.float64(3.1312), np.float64(0.06347817464294322))","(np.float64(3.0304), np.float64(0.06269216525212701))"
17,"(np.float64(1.5664), np.float64(0.04754870244286378))","(np.float64(1.6288), np.float64(0.04838161898903343))","(np.float64(2.4448), np.float64(0.057567137292034935))","(np.float64(2.4448), np.float64(0.057567137292034935))","(np.float64(3.1264), np.float64(0.06344132962036657))","(np.float64(3.0896), np.float64(0.063156925067644))"
19,"(np.float64(1.5392), np.float64(0.047178452030561584))","(np.float64(1.6448), np.float64(0.04859159696902336))","(np.float64(2.2864), np.float64(0.05599533466280918))","(np.float64(1.8688), np.float64(0.05138909082675038))","(np.float64(3.0512), np.float64(0.06285648618877769))","(np.float64(3.2272), np.float64(0.06420309973825251))"
